100.0	1422913.0	8616.431678503635
150.0	1419080.0	8276.26846052116
200.0	1414624.0	10052.2651660063
250.0	1408698.0	10063.8793142384
300.0	1402928.0	9963.680962484339
350.0	1390746.0	11846.939049404124
400.0	1378946.0	10949.119145349625
450.0	1361017.0	9418.315624943865
500.0	1345241.0	10496.805504970795
550.0	1331651.0	11857.973182706131
600.0	1319604.0	12055.589731965892
650.0	1305091.0	10843.201897202975
700.0	1287679.0	7925.488051789727
750.0	1278379.0	10480.656615270336
800.0	1264537.0	7263.2196619664
850.0	1249908.0	8957.285405757568
