100.0	1422295.0	8619.454203167032
150.0	1419211.0	9149.419300620555
200.0	1415539.0	10021.26987491981
250.0	1413511.0	10323.4217168773
300.0	1410679.0	9353.670629740978
350.0	1405975.0	7412.101299235154
400.0	1402891.0	10964.111472032764
450.0	1396039.0	7500.266318879847
500.0	1393615.0	9628.950429887702
550.0	1387874.0	6062.744965145332
600.0	1383917.0	8826.739959201132
650.0	1374282.0	10750.575151731977
700.0	1365168.0	10137.533239741519
750.0	1349187.0	9670.748809808874
800.0	1343287.0	10886.904338708848
850.0	1328476.0	9626.254807687073
900.0	1316334.0	7575.975381659195
950.0	1304434.0	11616.855476474
